subject,day,session_name,target_label,n_trials,accuracy,rt_mean_sec,rt_median_sec,rt_from_stimulus_mean_sec,rt_from_stimulus_median_sec,n_errors,most_common_response,session_label,session_order
s01,2026-05-28,syllable_top50,정,1,1.0,2.589902200037613,2.589902200037613,1.3874022000376136,1.3874022000376136,0,정,S9 Syllable Top 50,9
s01,2026-05-28,syllable_top50,제,1,1.0,4.553526100004092,4.553526100004092,3.451426100004092,3.451426100004092,0,제,S9 Syllable Top 50,9
s01,2026-05-28,syllable_top50,주,1,1.0,2.032005300046876,2.032005300046876,1.230205300046876,1.230205300046876,0,주,S9 Syllable Top 50,9
s01,2026-05-28,syllable_top50,중,1,1.0,3.216284700087272,3.216284700087272,2.0135847000872715,2.0135847000872715,0,중,S9 Syllable Top 50,9
s01,2026-05-28,syllable_top50,지,1,1.0,2.497874399996362,2.497874399996362,1.9473743999963624,1.9473743999963624,0,지,S9 Syllable Top 50,9
s01,2026-05-28,syllable_top50,하,1,1.0,3.155959499999881,3.155959499999881,2.1545594999998805,2.1545594999998805,0,하,S9 Syllable Top 50,9
s01,2026-05-28,syllable_top50,회,1,0.0,4.933322100085206,4.933322100085206,3.631622100085206,3.631622100085206,1,혼,S9 Syllable Top 50,9
s01,2026-06-02,syllable_top50,가,1,1.0,1.683086900040507,1.683086900040507,0.8816869000405073,0.8816869000405073,0,가,S9 Syllable Top 50,9
s01,2026-06-02,syllable_top50,개,1,0.0,1.805553400190547,1.805553400190547,0.703653400190547,0.703653400190547,1,가,S9 Syllable Top 50,9
s01,2026-06-02,syllable_top50,것,1,1.0,2.403227600036189,2.403227600036189,1.201227600036189,1.201227600036189,0,것,S9 Syllable Top 50,9
s01,2026-06-02,syllable_top50,경,1,1.0,1.3352089999243617,1.3352089999243617,0.0,0.0,0,경,S9 Syllable Top 50,9
s01,2026-06-02,syllable_top50,계,1,1.0,3.093699600081891,3.093699600081891,1.439999600081891,1.439999600081891,0,계,S9 Syllable Top 50,9
s01,2026-06-02,syllable_top50,고,1,1.0,1.970754300011322,1.970754300011322,1.1695543000113218,1.1695543000113218,0,고,S9 Syllable Top 50,9
s01,2026-06-02,syllable_top50,공,1,1.0,2.0020719999447465,2.0020719999447465,0.7999719999447463,0.7999719999447463,0,공,S9 Syllable Top 50,9
s01,2026-06-02,syllable_top50,관,1,1.0,4.05430019996129,4.05430019996129,2.3015001999612896,2.3015001999612896,0,관,S9 Syllable Top 50,9
s01,2026-06-02,syllable_top50,구,1,1.0,1.503603900084272,1.503603900084272,0.7018039000842721,0.7018039000842721,0,구,S9 Syllable Top 50,9
s01,2026-06-02,syllable_top50,국,1,1.0,2.1335218001622707,2.1335218001622707,0.9314218001622708,0.9314218001622708,0,국,S9 Syllable Top 50,9
s01,2026-06-02,syllable_top50,기,1,1.0,1.781338799977675,1.781338799977675,1.230838799977675,1.230838799977675,0,기,S9 Syllable Top 50,9
s01,2026-06-02,syllable_top50,나,1,1.0,1.9922480001114309,1.9922480001114309,1.1908480001114308,1.1908480001114308,0,나,S9 Syllable Top 50,9
s01,2026-06-02,syllable_top50,내,1,1.0,4.119906799867749,4.119906799867749,3.018006799867749,3.018006799867749,0,내,S9 Syllable Top 50,9
s01,2026-06-02,syllable_top50,대,1,1.0,3.2757098998408765,3.2757098998408765,2.1738098998408764,2.1738098998408764,0,대,S9 Syllable Top 50,9
s01,2026-06-02,syllable_top50,도,1,1.0,1.7951646998990327,1.7951646998990327,0.9939646998990328,0.9939646998990328,0,도,S9 Syllable Top 50,9
s01,2026-06-02,syllable_top50,동,1,1.0,1.9827320000622424,1.9827320000622424,0.780632000062242,0.780632000062242,0,동,S9 Syllable Top 50,9
s01,2026-06-02,syllable_top50,등,1,1.0,3.174374700058252,3.174374700058252,2.0229747000582514,2.0229747000582514,0,등,S9 Syllable Top 50,9
s01,2026-06-02,syllable_top50,리,1,1.0,2.0738995999563485,2.0738995999563485,1.3233995999563486,1.3233995999563486,0,리,S9 Syllable Top 50,9
s01,2026-06-02,syllable_top50,보,1,1.0,2.166062999982387,2.166062999982387,1.3648629999823867,1.3648629999823867,0,보,S9 Syllable Top 50,9
s01,2026-06-02,syllable_top50,부,1,0.0,1.7855150999967009,1.7855150999967009,0.9837150999967008,0.9837150999967008,1,구,S9 Syllable Top 50,9
s01,2026-06-02,syllable_top50,비,1,1.0,2.604756199987605,2.604756199987605,2.054256199987605,2.054256199987605,0,비,S9 Syllable Top 50,9
s01,2026-06-02,syllable_top50,사,1,1.0,1.5992472998332232,1.5992472998332232,0.7978472998332232,0.7978472998332232,0,사,S9 Syllable Top 50,9
s01,2026-06-02,syllable_top50,상,1,1.0,2.2006675999145955,2.2006675999145955,0.9983675999145956,0.9983675999145956,0,상,S9 Syllable Top 50,9
s01,2026-06-02,syllable_top50,서,1,1.0,2.2044331000652164,2.2044331000652164,1.4028331000652163,1.4028331000652163,0,서,S9 Syllable Top 50,9
s01,2026-06-02,syllable_top50,선,1,1.0,2.644117600051686,2.644117600051686,1.4423176000516862,1.4423176000516862,0,선,S9 Syllable Top 50,9
s01,2026-06-02,syllable_top50,성,1,1.0,2.339472600026056,2.339472600026056,1.1369726000260565,1.1369726000260565,0,성,S9 Syllable Top 50,9
s01,2026-06-02,syllable_top50,소,1,1.0,1.8032754000741988,1.8032754000741988,1.0020754000741987,1.0020754000741987,0,소,S9 Syllable Top 50,9
s01,2026-06-02,syllable_top50,수,1,1.0,1.9531153999269009,1.9531153999269009,1.1513153999269008,1.1513153999269008,0,수,S9 Syllable Top 50,9
s01,2026-06-02,syllable_top50,스,1,1.0,2.9434267999604344,2.9434267999604344,2.1929267999604347,2.1929267999604347,0,스,S9 Syllable Top 50,9
s01,2026-06-02,syllable_top50,시,1,1.0,2.4055401000659917,2.4055401000659917,1.8550401000659915,1.8550401000659915,0,시,S9 Syllable Top 50,9
s01,2026-06-02,syllable_top50,아,1,1.0,2.14451240003109,2.14451240003109,1.3431124000310897,1.3431124000310897,0,아,S9 Syllable Top 50,9
s01,2026-06-02,syllable_top50,업,1,1.0,3.794322200119496,3.794322200119496,2.5921222001194955,2.5921222001194955,0,업,S9 Syllable Top 50,9
s01,2026-06-02,syllable_top50,오,1,1.0,1.685869200155139,1.685869200155139,0.884669200155139,0.884669200155139,0,오,S9 Syllable Top 50,9
s01,2026-06-02,syllable_top50,원,1,1.0,2.853497200179845,2.853497200179845,1.0998972001798453,1.0998972001798453,0,원,S9 Syllable Top 50,9
s01,2026-06-02,syllable_top50,위,1,1.0,5.497315399814397,5.497315399814397,4.3950153998143975,4.3950153998143975,0,위,S9 Syllable Top 50,9
s01,2026-06-02,syllable_top50,의,1,1.0,2.72051510005258,2.72051510005258,1.6695151000525803,1.6695151000525803,0,의,S9 Syllable Top 50,9
s01,2026-06-02,syllable_top50,이,1,1.0,1.7441640000324696,1.7441640000324696,1.1936640000324696,1.1936640000324696,0,이,S9 Syllable Top 50,9
s01,2026-06-02,syllable_top50,인,1,1.0,2.193154999986291,2.193154999986291,1.2424549999862908,1.2424549999862908,0,인,S9 Syllable Top 50,9
s01,2026-06-02,syllable_top50,일,1,1.0,3.365037600044161,3.365037600044161,2.214337600044161,2.214337600044161,0,일,S9 Syllable Top 50,9
s01,2026-06-02,syllable_top50,있,1,1.0,3.2694320001173764,3.2694320001173764,2.018132000117377,2.018132000117377,0,있,S9 Syllable Top 50,9
s01,2026-06-02,syllable_top50,자,1,1.0,1.5943291999865323,1.5943291999865323,0.7929291999865323,0.7929291999865323,0,자,S9 Syllable Top 50,9
s01,2026-06-02,syllable_top50,장,1,1.0,3.4235556998755783,3.4235556998755783,2.221255699875578,2.221255699875578,0,장,S9 Syllable Top 50,9
s01,2026-06-02,syllable_top50,전,1,0.0,4.08148349984549,4.08148349984549,2.87968349984549,2.87968349984549,1,제,S9 Syllable Top 50,9
s01,2026-06-02,syllable_top50,정,1,1.0,3.085840200074017,3.085840200074017,1.8833402000740167,1.8833402000740167,0,정,S9 Syllable Top 50,9
s01,2026-06-02,syllable_top50,제,1,1.0,3.784561999840662,3.784561999840662,2.682461999840662,2.682461999840662,0,제,S9 Syllable Top 50,9
s01,2026-06-02,syllable_top50,주,1,1.0,2.2244116000365466,2.2244116000365466,1.4226116000365463,1.4226116000365463,0,주,S9 Syllable Top 50,9
s01,2026-06-02,syllable_top50,중,1,1.0,2.7732830999884754,2.7732830999884754,1.5705830999884751,1.5705830999884751,0,중,S9 Syllable Top 50,9
s01,2026-06-02,syllable_top50,지,1,1.0,1.4454202998895198,1.4454202998895198,0.8949202998895198,0.8949202998895198,0,지,S9 Syllable Top 50,9
s01,2026-06-02,syllable_top50,하,1,1.0,3.1338029000908136,3.1338029000908136,2.1324029000908133,2.1324029000908133,0,하,S9 Syllable Top 50,9
s01,2026-06-02,syllable_top50,회,1,1.0,6.431047699879855,6.431047699879855,5.129347699879855,5.129347699879855,0,회,S9 Syllable Top 50,9
s01,2026-06-02,syllable_top100,감,1,1.0,3.041827999986708,3.041827999986708,1.6395279999867085,1.6395279999867085,0,감,S10 Syllable Top 100,10
s01,2026-06-02,syllable_top100,거,1,0.0,1.7754948001820594,1.7754948001820594,0.9738948001820594,0.9738948001820594,1,기,S10 Syllable Top 100,10
s01,2026-06-02,syllable_top100,것,1,1.0,3.532029499998316,3.532029499998316,2.330029499998316,2.330029499998316,0,것,S10 Syllable Top 100,10
s01,2026-06-02,syllable_top100,계,1,1.0,2.585234500002116,2.585234500002116,0.9315345000021162,0.9315345000021162,0,계,S10 Syllable Top 100,10
s01,2026-06-02,syllable_top100,공,1,1.0,2.523301800014451,2.523301800014451,1.321201800014451,1.321201800014451,0,공,S10 Syllable Top 100,10
s01,2026-06-02,syllable_top100,내,1,1.0,3.6358052999712527,3.6358052999712527,2.5339052999712526,2.5339052999712526,0,내,S10 Syllable Top 100,10
s01,2026-06-02,syllable_top100,년,1,0.0,3.991188099840656,3.991188099840656,2.237788099840656,2.237788099840656,1,눤,S10 Syllable Top 100,10
s01,2026-06-02,syllable_top100,대,1,0.0,3.394328200025484,3.394328200025484,2.292428200025484,2.292428200025484,1,닷,S10 Syllable Top 100,10
s01,2026-06-02,syllable_top100,등,1,1.0,3.214246300049126,3.214246300049126,2.062846300049126,2.062846300049126,0,등,S10 Syllable Top 100,10
s01,2026-06-02,syllable_top100,명,1,1.0,4.294798300135881,4.294798300135881,2.3406983001358808,2.3406983001358808,0,명,S10 Syllable Top 100,10
s01,2026-06-02,syllable_top100,사,1,1.0,1.2603123001754284,1.2603123001754284,0.4589123001754284,0.4589123001754284,0,사,S10 Syllable Top 100,10
s01,2026-06-02,syllable_top100,산,1,1.0,1.2384935000445694,1.2384935000445694,0.0368935000445693,0.0368935000445693,0,산,S10 Syllable Top 100,10
s01,2026-06-02,syllable_top100,상,1,1.0,1.8557414000388237,1.8557414000388237,0.6534414000388236,0.6534414000388236,0,상,S10 Syllable Top 100,10
s01,2026-06-02,syllable_top100,성,1,1.0,2.135453099850565,2.135453099850565,0.9329530998505652,0.9329530998505652,0,성,S10 Syllable Top 100,10
s01,2026-06-02,syllable_top100,세,1,0.0,2.0386741999536757,2.0386741999536757,0.9365741999536754,0.9365741999536754,1,전,S10 Syllable Top 100,10
s01,2026-06-02,syllable_top100,신,1,0.0,3.9971121000126,3.9971121000126,3.0464121000126,3.0464121000126,1,오,S10 Syllable Top 100,10
s01,2026-06-02,syllable_top100,아,1,1.0,1.6014984999783335,1.6014984999783335,0.8000984999783337,0.8000984999783337,0,아,S10 Syllable Top 100,10
s01,2026-06-02,syllable_top100,연,1,1.0,1.38398059993051,1.38398059993051,0.0,0.0,0,연,S10 Syllable Top 100,10
s01,2026-06-02,syllable_top100,영,1,0.0,3.934887700015679,3.934887700015679,2.180787700015679,2.180787700015679,1,읭,S10 Syllable Top 100,10
s01,2026-06-02,syllable_top100,오,1,1.0,2.1467741997912526,2.1467741997912526,1.3455741997912525,1.3455741997912525,0,오,S10 Syllable Top 100,10
s01,2026-06-02,syllable_top100,우,1,1.0,1.4843999999575317,1.4843999999575317,0.6825999999575317,0.6825999999575317,0,우,S10 Syllable Top 100,10
s01,2026-06-02,syllable_top100,유,1,1.0,2.071170600131154,2.071170600131154,0.7175706001311541,0.7175706001311541,0,유,S10 Syllable Top 100,10
s01,2026-06-02,syllable_top100,이,1,0.0,1.9472918000537904,1.9472918000537904,1.3967918000537902,1.3967918000537902,1,비,S10 Syllable Top 100,10
s01,2026-06-02,syllable_top100,인,1,1.0,1.9915058999322357,1.9915058999322357,1.0408058999322354,1.0408058999322354,0,인,S10 Syllable Top 100,10
s01,2026-06-02,syllable_top100,자,1,1.0,1.781736700097099,1.781736700097099,0.980336700097099,0.980336700097099,0,자,S10 Syllable Top 100,10
s01,2026-06-02,syllable_top100,장,1,1.0,2.404389299917966,2.404389299917966,1.2020892999179662,1.2020892999179662,0,장,S10 Syllable Top 100,10
s01,2026-06-02,syllable_top100,전,1,1.0,2.2836187998764217,2.2836187998764217,1.0818187998764217,1.0818187998764217,0,전,S10 Syllable Top 100,10
s01,2026-06-02,syllable_top100,제,1,1.0,3.141937999986112,3.141937999986112,2.039837999986112,2.039837999986112,0,제,S10 Syllable Top 100,10
s01,2026-06-02,syllable_top100,지,1,1.0,2.4613119000568986,2.4613119000568986,1.9108119000568984,1.9108119000568984,0,지,S10 Syllable Top 100,10
s01,2026-06-02,syllable_top100,치,1,1.0,2.64704760001041,2.64704760001041,1.89654760001041,1.89654760001041,0,치,S10 Syllable Top 100,10
s01,2026-06-02,syllable_top100,해,1,1.0,3.785787499975413,3.785787499975413,2.483887499975413,2.483887499975413,0,해,S10 Syllable Top 100,10
s01,2026-06-02,syllable_top100,회,1,1.0,3.843699700199068,3.843699700199068,2.5419997001990677,2.5419997001990677,0,회,S10 Syllable Top 100,10
s01,2026-06-02,syllable_top100,후,1,1.0,2.00329319993034,2.00329319993034,1.00149319993034,1.00149319993034,0,후,S10 Syllable Top 100,10
s01,2026-06-04,syllable_top50,가,1,1.0,1.444540300173685,1.444540300173685,0.643140300173685,0.643140300173685,0,가,S9 Syllable Top 50,9
s01,2026-06-04,syllable_top50,개,1,1.0,2.557238199980929,2.557238199980929,1.4553381999809294,1.4553381999809294,0,개,S9 Syllable Top 50,9
s01,2026-06-04,syllable_top50,것,1,1.0,2.2929970999248326,2.2929970999248326,1.0909970999248326,1.0909970999248326,0,것,S9 Syllable Top 50,9
s01,2026-06-04,syllable_top50,경,1,1.0,2.9214438998606056,2.9214438998606056,1.1673438998606056,1.1673438998606056,0,경,S9 Syllable Top 50,9
s01,2026-06-04,syllable_top50,계,1,1.0,2.767904399894178,2.767904399894178,1.1142043998941782,1.1142043998941782,0,계,S9 Syllable Top 50,9
s01,2026-06-04,syllable_top50,고,1,1.0,1.5785366999916732,1.5785366999916732,0.7773366999916732,0.7773366999916732,0,고,S9 Syllable Top 50,9
s01,2026-06-04,syllable_top50,공,1,1.0,1.90573520003818,1.90573520003818,0.7036352000381796,0.7036352000381796,0,공,S9 Syllable Top 50,9
s01,2026-06-04,syllable_top50,관,1,1.0,2.621666900115088,2.621666900115088,0.8688669001150875,0.8688669001150875,0,관,S9 Syllable Top 50,9
s01,2026-06-04,syllable_top50,구,1,1.0,1.567007499979809,1.567007499979809,0.765207499979809,0.765207499979809,0,구,S9 Syllable Top 50,9
s01,2026-06-04,syllable_top50,국,1,1.0,2.1665675998665392,2.1665675998665392,0.9644675998665392,0.9644675998665392,0,국,S9 Syllable Top 50,9
s01,2026-06-04,syllable_top50,기,1,1.0,1.564928299980238,1.564928299980238,1.014428299980238,1.014428299980238,0,기,S9 Syllable Top 50,9
s01,2026-06-04,syllable_top50,나,1,1.0,2.4044653000310063,2.4044653000310063,1.6030653000310062,1.6030653000310062,0,나,S9 Syllable Top 50,9
s01,2026-06-04,syllable_top50,내,1,1.0,2.6961403000168502,2.6961403000168502,1.59424030001685,1.59424030001685,0,내,S9 Syllable Top 50,9
s01,2026-06-04,syllable_top50,대,1,1.0,2.947122300043702,2.947122300043702,1.845222300043702,1.845222300043702,0,대,S9 Syllable Top 50,9
s01,2026-06-04,syllable_top50,도,1,1.0,1.4411454999353737,1.4411454999353737,0.6399454999353736,0.6399454999353736,0,도,S9 Syllable Top 50,9
s01,2026-06-04,syllable_top50,동,1,1.0,2.474547700025141,2.474547700025141,1.272447700025141,1.272447700025141,0,동,S9 Syllable Top 50,9
s01,2026-06-04,syllable_top50,등,1,1.0,3.4545501000247896,3.4545501000247896,2.3031501000247894,2.3031501000247894,0,등,S9 Syllable Top 50,9
s01,2026-06-04,syllable_top50,리,1,1.0,1.577021700097248,1.577021700097248,0.826521700097248,0.826521700097248,0,리,S9 Syllable Top 50,9
s01,2026-06-04,syllable_top50,보,1,1.0,1.7320293001830578,1.7320293001830578,0.9308293001830578,0.9308293001830578,0,보,S9 Syllable Top 50,9
s01,2026-06-04,syllable_top50,부,1,1.0,2.7650882999878377,2.7650882999878377,1.9632882999878376,1.9632882999878376,0,부,S9 Syllable Top 50,9
s01,2026-06-04,syllable_top50,비,1,1.0,1.7030042000114918,1.7030042000114918,1.1525042000114918,1.1525042000114918,0,비,S9 Syllable Top 50,9
s01,2026-06-04,syllable_top50,사,1,1.0,1.6254489000421015,1.6254489000421015,0.8240489000421017,0.8240489000421017,0,사,S9 Syllable Top 50,9
s01,2026-06-04,syllable_top50,상,1,1.0,2.3512843002099544,2.3512843002099544,1.1489843002099545,1.1489843002099545,0,상,S9 Syllable Top 50,9
s01,2026-06-04,syllable_top50,서,1,1.0,1.6588601002003998,1.6588601002003998,0.8572601002003998,0.8572601002003998,0,서,S9 Syllable Top 50,9
s01,2026-06-04,syllable_top50,선,1,1.0,2.2996678000781685,2.2996678000781685,1.0978678000781683,1.0978678000781683,0,선,S9 Syllable Top 50,9
s01,2026-06-04,syllable_top50,성,1,1.0,2.3163964999839664,2.3163964999839664,1.1138964999839664,1.1138964999839664,0,성,S9 Syllable Top 50,9
s01,2026-06-04,syllable_top50,소,1,1.0,1.567437400110066,1.567437400110066,0.7662374001100659,0.7662374001100659,0,소,S9 Syllable Top 50,9
s01,2026-06-04,syllable_top50,수,1,1.0,1.5866620000451803,1.5866620000451803,0.7848620000451804,0.7848620000451804,0,수,S9 Syllable Top 50,9
s01,2026-06-04,syllable_top50,스,1,0.0,1.8435879999306053,1.8435879999306053,1.0930879999306051,1.0930879999306051,1,스\,S9 Syllable Top 50,9
s01,2026-06-04,syllable_top50,시,1,1.0,1.5617509000003338,1.5617509000003338,1.0112509000003338,1.0112509000003338,0,시,S9 Syllable Top 50,9
s01,2026-06-04,syllable_top50,아,1,1.0,1.5640174001455307,1.5640174001455307,0.7626174001455307,0.7626174001455307,0,아,S9 Syllable Top 50,9
s01,2026-06-04,syllable_top50,업,1,1.0,3.1244849001523107,3.1244849001523107,1.9222849001523108,1.9222849001523108,0,업,S9 Syllable Top 50,9
s01,2026-06-04,syllable_top50,오,1,1.0,1.3479926998261362,1.3479926998261362,0.5467926998261362,0.5467926998261362,0,오,S9 Syllable Top 50,9
s01,2026-06-04,syllable_top50,원,1,1.0,2.712786000221968,2.712786000221968,0.959186000221968,0.959186000221968,0,원,S9 Syllable Top 50,9
s01,2026-06-04,syllable_top50,위,1,1.0,2.183062299853191,2.183062299853191,1.0807622998531907,1.0807622998531907,0,위,S9 Syllable Top 50,9
s01,2026-06-04,syllable_top50,의,1,1.0,2.144954699790105,2.144954699790105,1.0939546997901053,1.0939546997901053,0,의,S9 Syllable Top 50,9
s01,2026-06-04,syllable_top50,이,1,1.0,1.7511480001267046,1.7511480001267046,1.2006480001267046,1.2006480001267046,0,이,S9 Syllable Top 50,9
s01,2026-06-04,syllable_top50,인,1,1.0,2.874958199914545,2.874958199914545,1.9242581999145447,1.9242581999145447,0,인,S9 Syllable Top 50,9
s01,2026-06-04,syllable_top50,일,1,1.0,3.131077100057155,3.131077100057155,1.9803771000571548,1.9803771000571548,0,일,S9 Syllable Top 50,9
s01,2026-06-04,syllable_top50,있,1,1.0,3.416587800020352,3.416587800020352,2.1652878000203524,2.1652878000203524,0,있,S9 Syllable Top 50,9
s01,2026-06-04,syllable_top50,자,1,1.0,1.5290514000225812,1.5290514000225812,0.7276514000225812,0.7276514000225812,0,자,S9 Syllable Top 50,9
s01,2026-06-04,syllable_top50,장,1,1.0,2.4378200999926776,2.4378200999926776,1.2355200999926776,1.2355200999926776,0,장,S9 Syllable Top 50,9
s01,2026-06-04,syllable_top50,전,1,1.0,1.8437979000154885,1.8437979000154885,0.6419979000154883,0.6419979000154883,0,전,S9 Syllable Top 50,9
