day,session_name,trial_index_session,correct,rt_sec,moving_accuracy,moving_rt,moving_rt_from_stimulus,target_label,selected_label
2026-06-02,syllable_top50,10,1,2.7732830999884754,0.8,2.3913484000368044,1.4096784000368043,중,중
2026-06-02,syllable_top50,11,1,1.3352089999243617,0.9,2.3443139600101857,1.3393130600177496,경,경
2026-06-02,syllable_top50,12,1,1.4454202998895198,0.9,2.266414829995483,1.286543930003047,지,지
2026-06-02,syllable_top50,13,1,5.497315399814397,0.9,2.5218036899808793,1.5067527899884432,위,위
2026-06-02,syllable_top50,14,1,2.4055401000659917,0.9,2.5937707799719645,1.6037898799795287,시,시
2026-06-02,syllable_top50,15,1,1.7951646998990327,0.9,2.6229268599534405,1.6330059599610045,도,도
2026-06-02,syllable_top50,16,0,4.08148349984549,0.8,2.688719639950432,1.698848739957996,전,제
2026-06-02,syllable_top50,17,1,3.1338029000908136,0.8,2.665596169955097,1.690655269962661,하,하
2026-06-02,syllable_top50,18,1,1.9922480001114309,0.8,2.6244982099626215,1.6896173099701852,나,나
2026-06-02,syllable_top50,19,1,3.784561999840662,0.9,2.8244028999470174,1.8594919999545811,제,제
2026-06-02,syllable_top50,20,1,3.174374700058252,0.9,2.864512059953995,1.904731159961559,등,등
2026-06-02,syllable_top50,21,1,3.2757098998408765,0.9,3.0585621499456463,2.1221121499456466,대,대
2026-06-02,syllable_top50,22,1,1.5992472998332232,0.9,3.073944849940017,2.1124048499400168,사,사
2026-06-02,syllable_top50,23,1,3.2694320001173764,0.9,2.851156509970315,1.8747165099703147,있,있
2026-06-02,syllable_top50,24,1,1.781338799977675,0.9,2.7887363799614833,1.812296379961483,기,기
2026-06-02,syllable_top50,25,1,2.2006675999145955,0.9,2.8292866699630395,1.8127366699630396,상,상
2026-06-02,syllable_top50,26,1,3.085840200074017,1.0,2.729722339985892,1.7131023399858922,정,정
2026-06-02,syllable_top50,27,1,6.431047699879855,1.0,3.0594468199647964,2.0127968199647963,회,회
2026-06-02,syllable_top50,28,1,2.644117600051686,1.0,3.1246337799588217,2.037943779958822,선,선
2026-06-02,syllable_top50,29,1,2.604756199987605,1.0,3.006653199973516,1.9751231999735162,비,비
2026-06-02,syllable_top50,30,1,2.2044331000652164,1.0,2.909659039974213,1.9131090399742123,서,서
2026-06-02,syllable_top50,31,1,2.166062999982387,1.0,2.798694349988364,1.8322143499883636,보,보
2026-06-02,syllable_top50,32,1,3.794322200119496,1.0,3.018201840016991,2.011641840016991,업,업
2026-06-02,syllable_top50,33,1,2.339472600026056,1.0,2.925205900007859,1.9235259000078586,성,성
2026-06-02,syllable_top50,34,1,2.0020719999447465,1.0,2.947279220004566,1.880439220004566,공,공
2026-06-02,syllable_top50,35,1,4.119906799867749,1.0,3.139203139999881,2.0824031399998812,내,내
2026-06-02,syllable_top50,36,1,1.970754300011322,1.0,3.027694549993612,2.0110245499936115,고,고
2026-06-02,syllable_top50,37,1,2.14451240003109,1.0,2.5990410200087353,1.632401020008735,아,아
2026-06-02,syllable_top50,38,1,1.5943291999865323,1.0,2.49406218000222,1.5674621800022197,자,자
2026-06-02,syllable_top50,39,1,2.72051510005258,1.0,2.5056380700087173,1.5289880700087175,의,의
2026-06-02,syllable_top50,40,1,2.193154999986291,1.0,2.504510260000825,1.5129502600008249,인,인
