condition_name,trial_in_condition,rolling_accuracy_mean,rolling_accuracy_sem,rolling_rt_correct_mean,rolling_rt_correct_sem,n_subjects
C5_LowA,19,0.2222222222222222,,1.835258150123991,,1
C5_LowA,20,0.2222222222222222,,1.5066083000274375,,1
C5_LowA,21,0.2222222222222222,,1.5066083000274375,,1
C5_LowA,22,0.2222222222222222,,1.5066083000274375,,1
C5_LowA,23,0.2222222222222222,,1.5066083000274375,,1
C5_LowA,24,0.2222222222222222,,1.5066083000274375,,1
C5_LowA,25,0.3333333333333333,,1.4770778000044327,,1
C5_LowA,26,0.4444444444444444,,1.5897203750209883,,1
C5_LowA,27,0.4444444444444444,,1.402929475007113,,1
C5_LowA,28,0.4444444444444444,,1.402929475007113,,1
C5_LowA,29,0.4444444444444444,,1.305754250031896,,1
C5_LowA,30,0.5555555555555556,,1.2317251600325108,,1
C5_LowA,31,0.6666666666666666,,1.4770945333487664,,1
C5_LowA,32,0.6666666666666666,,1.4770945333487664,,1
C5_LowA,33,0.7777777777777778,,1.416913585704086,,1
C5_LowA,34,0.6666666666666666,,1.4167297166616966,,1
C5_LowA,35,0.5555555555555556,,1.314546039979905,,1
C5_LowA,36,0.5555555555555556,,1.4158376399893313,,1
C5_LowA,37,0.6666666666666666,,1.5061866500182077,,1
C5_LowA,38,0.6666666666666666,,1.9115089500167717,,1
C5_LowA,39,0.6666666666666666,,2.4070501166473455,,1
C5_LowA,40,0.6666666666666666,,2.1627074333373457,,1
C5_LowA,41,0.7777777777777778,,2.013564371404105,,1
C5_LowA,42,0.7777777777777778,,2.2153542000201663,,1
C5_LowA,43,0.8888888888888888,,2.2696821625286248,,1
C5_LowA,44,1.0,,2.175147677797617,,1
C5_LowA,45,1.0,,2.7216126333611705,,1
C5_LowA,46,1.0,,2.8384400333484843,,1
C5_LowA,47,1.0,,2.974913822228296,,1
C5_LowA,48,1.0,,2.704815677806942,,1
C5_LowA,49,1.0,,2.717841566695521,,1
C5_LowA,50,0.8888888888888888,,2.917733512556879,,1
C5_LowA,51,0.8888888888888888,,2.7490002250415273,,1
C5_LowA,52,0.8888888888888888,,2.786019125051098,,1
C5_LowA,53,0.8888888888888888,,2.8194211000518408,,1
C5_LowA,54,0.8888888888888888,,2.234964575036429,,1
C5_LowA,55,0.8888888888888888,,2.3286205875338055,,1
C5_LowA,56,0.8888888888888888,,1.8258214625238907,,1
C5_LowA,57,0.8888888888888888,,1.765847200033022,,1
C5_LowA,58,0.8888888888888888,,1.8411961625388358,,1
C5_LowA,59,1.0,,1.740913433359108,,1
C5_LowA,60,1.0,,1.8143973333709356,,1
C5_LowA,61,1.0,,1.605043555584012,,1
C6_LowB,1,,,,,1
C6_LowB,2,,,,,1
C6_LowB,3,0.0,,,,1
C6_LowB,4,0.0,,,,1
C6_LowB,5,0.0,,,,1
C6_LowB,6,0.0,,,,1
C6_LowB,7,0.0,,,,1
C6_LowB,8,0.0,,,,1
C6_LowB,9,0.0,,,,1
